Player,url,From,To,Pos,Ht,Wt,Birth Date,Colleges,Shoots,Height,Weight,Origin,Debut,Position
Trent Tucker,/players/t/tucketr01.html,1983,1993,G,6-5,193,"December 20, 1959",Minnesota,Right,6-5,193lb,"Tarboro, North Carol","October 29, 1982",Shooting Guard
Ronny Turiaf,/players/t/turiaro01.html,2006,2015,F,6-10,249,"January 13, 1983",Gonzaga,Right,6-10,249lb,"Le Robert, Mart","February 8, 2006",Center
Mirsad Türkcan,/players/t/turkcmi01.html,2000,2000,F,6-9,236,"June 7, 1976",,Right,6-9,236lb,"Novi Pazar, Serbia","November 19, 1999",Power Forward
Hedo Türkoğlu,/players/t/turkohe01.html,2001,2015,F,6-10,220,"March 19, 1979",,Right,6-10,220lb,"Istanbul, Turkey","November 1, 2000",Small Forward and Power Forward
Andre Turner,/players/t/turnean01.html,1987,1992,G,5-11,160,"December 13, 1964",Memphis,Right,5-11,160lb,"Memphis, Tennessee","November 12, 1986",Point Guard
Bill Turner,/players/t/turnebi01.html,1968,1973,F,6-7,220,"February 18, 1944",University of Akron,Right,6-7,220lb,NA,"October 13, 1967",Power Forward and Small Forward
Elston Turner,/players/t/turneel01.html,1982,1989,G-F,6-5,190,"June 10, 1959",Ole Miss,Right,6-5,190lb,"Knoxville, Tennessee","October 30, 1981",Small Forward and Shooting Guard
Evan Turner,/players/t/turneev01.html,2011,2020,G,6-6,220,"October 27, 1988",Ohio State,Right,6-6,220lb,"Chicago, Ill","October 27, 2010",Small Forward  Shooting Guard  and Point Guard
Gary Turner,/players/t/turnega01.html,1968,1968,F,6-7,200,,TCU,Right,6-7,200lb,NA,NA,Forward
Henry Turner,/players/t/turnehe02.html,1990,1995,G-F,6-7,200,"August 18, 1966",Cal State Fullerton,Right,6-7,200lb,"Oakland, California","November 3, 1989",Power Forward
Herschell Turner,/players/t/turnehe01.html,1968,1968,G,6-2,195,"March 29, 1938",Nebraska,Right,6-2,195lb,NA,NA,Point Guard
Jack Turner,/players/t/turneja01.html,1955,1955,F-G,6-4,170,"June 29, 1930",Western Kentucky,Right,6-4,170lb,"Bedford, Indiana","October 30, 1954",Small Forward
Jack Turner,/players/t/turneja01.html,1955,1955,F-G,6-4,170,"June 29, 1930",Western Kentucky,Right,6-4,170lb,"Bedford, Indiana","October 30, 1954",Small Forward
Jack Turner,/players/t/turneja01.html,1955,1955,F-G,6-4,170,"June 29, 1930",Western Kentucky,Right,6-5,200lb,"Newport, Kentucky","October 19, 1961",Shooting Guard
Jack Turner,/players/t/turneja01.html,1955,1955,F-G,6-4,170,"June 29, 1930",Western Kentucky,Right,6-5,200lb,"Newport, Kentucky","October 19, 1961",Shooting Guard
Jack Turner,/players/t/turneja01.html,1962,1962,G-F,6-5,200,"June 5, 1939",Louisville,Right,6-4,170lb,"Bedford, Indiana","October 30, 1954",Small Forward
Jack Turner,/players/t/turneja01.html,1962,1962,G-F,6-5,200,"June 5, 1939",Louisville,Right,6-4,170lb,"Bedford, Indiana","October 30, 1954",Small Forward
Jack Turner,/players/t/turneja01.html,1962,1962,G-F,6-5,200,"June 5, 1939",Louisville,Right,6-5,200lb,"Newport, Kentucky","October 19, 1961",Shooting Guard
Jack Turner,/players/t/turneja01.html,1962,1962,G-F,6-5,200,"June 5, 1939",Louisville,Right,6-5,200lb,"Newport, Kentucky","October 19, 1961",Shooting Guard
Jack Turner,/players/t/turneja02.html,1955,1955,F-G,6-4,170,"June 29, 1930",Western Kentucky,Right,6-4,170lb,"Bedford, Indiana","October 30, 1954",Small Forward
Jack Turner,/players/t/turneja02.html,1955,1955,F-G,6-4,170,"June 29, 1930",Western Kentucky,Right,6-4,170lb,"Bedford, Indiana","October 30, 1954",Small Forward
Jack Turner,/players/t/turneja02.html,1955,1955,F-G,6-4,170,"June 29, 1930",Western Kentucky,Right,6-5,200lb,"Newport, Kentucky","October 19, 1961",Shooting Guard
Jack Turner,/players/t/turneja02.html,1955,1955,F-G,6-4,170,"June 29, 1930",Western Kentucky,Right,6-5,200lb,"Newport, Kentucky","October 19, 1961",Shooting Guard
Jack Turner,/players/t/turneja02.html,1962,1962,G-F,6-5,200,"June 5, 1939",Louisville,Right,6-4,170lb,"Bedford, Indiana","October 30, 1954",Small Forward
Jack Turner,/players/t/turneja02.html,1962,1962,G-F,6-5,200,"June 5, 1939",Louisville,Right,6-4,170lb,"Bedford, Indiana","October 30, 1954",Small Forward
Jack Turner,/players/t/turneja02.html,1962,1962,G-F,6-5,200,"June 5, 1939",Louisville,Right,6-5,200lb,"Newport, Kentucky","October 19, 1961",Shooting Guard
Jack Turner,/players/t/turneja02.html,1962,1962,G-F,6-5,200,"June 5, 1939",Louisville,Right,6-5,200lb,"Newport, Kentucky","October 19, 1961",Shooting Guard
Jeff Turner,/players/t/turneje01.html,1985,1996,F-C,6-9,230,"April 9, 1962",Vanderbilt,Left,6-9,230lb,"Bangor, Ma","October 26, 1984",Power Forward and Small Forward
John Turner,/players/t/turnejo01.html,1992,1992,F,6-8,245,"November 30, 1967","Georgetown, Phillips University",Right,6-8,245lb,Wash,"November 7, 1991",Small Forward
Myles Turner,/players/t/turnemy01.html,2016,2022,C-F,6-11,250,"March 24, 1996",Texas,Right,6-11,250lb,"Bedford, Texas","October 29, 2015",Center
Wayne Turner,/players/t/turnewa01.html,2000,2000,G,6-2,190,"March 22, 1976",Kentucky,Right,6-2,190lb,"Boston, Massachusetts","November 2, 1999",Point Guard
Melvin Turpin,/players/t/turpime01.html,1985,1990,C,6-11,240,"December 28, 1960",Kentucky,Right,6-11,240lb,Lex,"October 26, 1984",Center
Dave Twardzik,/players/t/twardda01.html,1973,1980,G,6-1,175,"September 20, 1950",Old Dominion,Right,6-1,175lb,"Hershey, Pennsylvania","October 23, 1976",Point Guard
Jack Twyman,/players/t/twymaja01.html,1956,1966,F-G,6-6,210,"May 11, 1934",Cincinnati,Right,6-6,210lb,"Pittsburgh, Pennsylvania","November 5, 1955",Small Forward and Shooting Guard
B.J. Tyler,/players/t/tylerbj01.html,1995,1995,G,6-1,185,"April 30, 1971","DePaul, Texas",Right,6-1,185lb,"Galveston, Texas","November 4, 1994",Point Guard
Jeremy Tyler,/players/t/tylerje01.html,2012,2014,C,6-10,260,"June 21, 1991",,Right,6-10,260lb,"San Diego, California","December 25, 2011",Center
Terry Tyler,/players/t/tylerte01.html,1979,1989,F-G,6-7,215,"October 30, 1956",Detroit Mercy,Right,6-7,215lb,"Detroit, Michigan","October 13, 1978",Small Forward and Power Forward
Charlie Tyra,/players/t/tyrach01.html,1958,1962,C-F,6-8,230,"August 16, 1935",Louisville,Right,6-8,230lb,"Louisville, Kentucky","October 23, 1957",Center and Power Forward
Rudy Tomjanovich,/coaches/tomjaru01c.html,1971,1981,F,6-8,218,"November 24, 1948",Michigan,Right,6-8,218lb,"Hamtramck, Michigan","October 13, 1970",Power Forward and Small Forward
Edwin Ubiles,/players/u/ubileed01.html,2012,2012,G,6-6,204,"November 26, 1986",Siena College,Right,6-6,204lb,"Brooklyn, New York","March 21, 2012",Small Forward
Ekpe Udoh,/players/u/udohek01.html,2011,2019,C-F,6-10,245,"May 20, 1987","Michigan, Baylor",Right,6-10,245lb,"Edmond, Oklahoma","December 10, 2010",Center and Power Forward
Ime Udoka,/players/u/udokaim01.html,2004,2011,F,6-6,215,"August 9, 1977","San Francisco, Portland State",Right,6-6,215lb,"Portland, Oregon","January 14, 2004",Small Forward  Shooting Guard  and Power Forward
Beno Udrih,/players/u/udrihbe01.html,2005,2017,G,6-3,205,"July 5, 1982",,Left,6-3,205lb,"Celje, Slovenia","November 3, 2004",Point Guard and Shooting Guard
Roko Ukić,/players/u/ukicro01.html,2009,2010,G,6-5,183,"May 12, 1984",,Right,6-5,183lb,"Split, Croatia","October 29, 2008",Point Guard
Tyler Ulis,/players/u/ulisty01.html,2017,2019,G,5-10,160,"January 5, 1996",Kentucky,Right,5-10,160lb,"Southfield, Michigan","October 26, 2016",Point Guard
Wes Unseld,/players/u/unselwe01.html,1969,1981,C-F,6-7,245,"March 14, 1946",Louisville,Right,6-7,245lb,"Louisville, Kentucky","October 16, 1968",Center
Hal Uplinger,/players/u/uplinha01.html,1954,1954,G,6-4,185,"September 30, 1929",Long Island University,Right,6-4,185lb,New Kens,"October 31, 1953",Shooting Guard
Kelvin Upshaw,/players/u/upshake01.html,1989,1991,G,6-2,180,"January 24, 1963",Utah,Right,6-2,180lb,"Chicago, Ill","January 12, 1989",Shooting Guard
Jarrod Uthoff,/players/u/uthofja01.html,2017,2020,F,6-9,221,"May 19, 1993",Iowa,Right,6-9,221lb,"Cedar Rapids, Iowa","March 10, 2017",Power Forward
Ben Uzoh,/players/u/uzohbe01.html,2011,2012,G,6-3,205,"March 19, 1988",Tulsa,Right,6-3,205lb,"Houston, Texas","November 15, 2010",Point Guard
Stephen Vacendak,/players/v/vacenst01.html,1968,1970,G,6-1,185,"August 15, 1944",Duke,Right,6-1,185lb,"Scranton, Pennsylvania",NA,Point Guard
Jonas Valančiūnas,/players/v/valanjo01.html,2013,2022,C,6-11,265,"May 6, 1992",,Right,6-11,265lb,"Utena, Lithuania","October 31, 2012",Center
Darnell Valentine,/players/v/valenda01.html,1982,1991,G,6-1,183,"February 3, 1959",Kansas,Right,6-1,183lb,"Chicago, Ill","October 30, 1981",Point Guard and Shooting Guard
Denzel Valentine,/players/v/valende01.html,2017,2022,G,6-4,220,"November 16, 1993",Michigan State,Right,6-4,220lb,Lans,"October 29, 2016",Shooting Guard and Small Forward
Ronnie Valentine,/players/v/valenro01.html,1981,1981,F,6-7,210,"November 27, 1957",Old Dominion,Right,6-7,210lb,"Norfolk, Virg","December 2, 1980",Small Forward
John Vallely,/players/v/vallejo01.html,1971,1972,G,6-3,185,"October 3, 1948",UCLA,Right,6-3,185lb,NA,"October 21, 1970",Shooting Guard
Dick Van Arsdale,/players/v/vanardi01.html,1966,1977,G-F,6-5,210,"February 22, 1943",Indiana,Right,6-5,210lb,"Indianapolis, Indiana","October 16, 1965",Shooting Guard
Tom Van Arsdale,/players/v/vanarto01.html,1966,1977,F-G,6-5,202,"February 22, 1943",Indiana,Right,6-5,202lb,"Indianapolis, Indiana","October 16, 1965",Small Forward and Shooting Guard
Nick Van Exel,/players/v/vanexni01.html,1994,2006,G,6-1,170,"November 27, 1971","Trinity Valley CC, Cincinnati",Left,6-1,170lb,"Kenosha, Wiscons","November 5, 1993",Point Guard and Shooting Guard
Keith Van Horn,/players/v/vanhoke01.html,1998,2006,F,6-10,220,"October 23, 1975",Utah,Right,6-10,220lb,"Fullerton, California","December 5, 1997",Small Forward and Power Forward
Norm Van Lier,/players/v/vanlino01.html,1970,1979,G,6-1,173,"April 1, 1947",Saint Francis University,Right,6-1,173lb,"East Liverpool, Ohio","October 15, 1969",Point Guard and Shooting Guard
Dennis Van Zant,/players/v/vanzade01.html,1976,1976,F,6-9,210,"June 1, 1952",Azusa Pacific University,Right,6-9,210lb,NA,NA,Power Forward
Fred VanVleet,/players/v/vanvlfr01.html,2017,2022,G,6-1,197,"February 25, 1994",Wichita State,Right,6-1,197lb,"Rockford, Ill","November 9, 2016",Point Guard and Shooting Guard
Gene Vance,/players/v/vancege01.html,1948,1952,G-F,6-3,195,"February 25, 1923",Illinois,Right,6-3,195lb,"Peru, Ill","November 13, 1947",Guard Forward
Logan Vander Velden,/players/v/vandelo01.html,1996,1996,F,6-8,215,"April 3, 1971",Green Bay,Right,6-8,215lb,"Valders, Wiscons","November 5, 1995",Small Forward
Jarred Vanderbilt,/players/v/vandeja01.html,2019,2022,F,6-9,214,"April 3, 1999",Kentucky,Left,6-9,214lb,"Houston, Texas","January 25, 2019",Power Forward
Ernie Vandeweghe,/players/v/vandeer01.html,1950,1956,F-G,6-3,195,"September 12, 1928",Colgate,Right,6-3,195lb,"Montreal, Canada","November 10, 1949",Shooting Guard and Small Forward
Kiki Vandeweghe,/players/v/vandeki01.html,1981,1993,F,6-8,220,"August 1, 1958",UCLA,Right,6-8,220lb,"Wiesbaden, Germany","December 10, 1980",Small Forward and Power Forward
Nick Vanos,/players/v/vanosni01.html,1986,1987,C,7-1,255,"April 13, 1963",Santa Clara,Right,7-1,255lb,"San Mateo, California","March 26, 1986",Center
David Vanterpool,/players/v/vanteda01.html,2001,2001,G,6-5,200,"March 31, 1973",St. Bonaventure,Right,6-5,200lb,"Daytona Beach, Florida","March 7, 2001",Point Guard
Ratko Varda,/players/v/vardara01.html,2002,2002,C,7-1,260,"May 6, 1979",,Right,7-1,260lb,"Bosanska Gradiska, Bosnia and Herzegov","February 12, 2002",Center
Anderson Varejão,/players/v/varejan01.html,2005,2021,F-C,6-10,273,"September 28, 1982",,Right,6-10,273lb,"Santa Teresa, Brazil","November 4, 2004",Center and Power Forward
Jarvis Varnado,/players/v/varnaja01.html,2013,2014,F,6-9,230,"March 1, 1988",Mississippi State,Right,6-9,230lb,"Fairfax, Virg","December 25, 2012",Power Forward
Greivis Vásquez,/players/v/vasqugr01.html,2011,2017,G,6-6,217,"January 16, 1987",Maryland,Right,6-6,217lb,"Caracas, Venezuela","October 30, 2010",Point Guard
Devin Vassell,/players/v/vassede01.html,2021,2022,G-F,6-5,200,"August 23, 2000",Florida State,Right,6-5,200lb,"Lawrenceville, Georgia","December 23, 2020",Small Forward
Chico Vaughn,/players/v/vaughch01.html,1963,1970,G,6-2,190,"February 19, 1940",Southern Illinois,Right,6-2,190lb,"Portland, Oregon","October 20, 1962",Shooting Guard and Point Guard
David Vaughn,/players/v/vaughda01.html,1975,1976,C,6-11,220,"June 4, 1952",Oral Roberts,Right,6-11,220lb,"Nashville, Tennessee",NA,Center
David Vaughn,/players/v/vaughda01.html,1975,1976,C,6-11,220,"June 4, 1952",Oral Roberts,Right,6-11,220lb,"Nashville, Tennessee",NA,Center
David Vaughn,/players/v/vaughda01.html,1975,1976,C,6-11,220,"June 4, 1952",Oral Roberts,Right,6-9,240lb,"Tulsa, Oklahoma","November 4, 1995",Power Forward
David Vaughn,/players/v/vaughda01.html,1975,1976,C,6-11,220,"June 4, 1952",Oral Roberts,Right,6-9,240lb,"Tulsa, Oklahoma","November 4, 1995",Power Forward
David Vaughn,/players/v/vaughda01.html,1996,1999,F,6-9,240,"March 23, 1973",Memphis,Right,6-11,220lb,"Nashville, Tennessee",NA,Center
David Vaughn,/players/v/vaughda01.html,1996,1999,F,6-9,240,"March 23, 1973",Memphis,Right,6-11,220lb,"Nashville, Tennessee",NA,Center
David Vaughn,/players/v/vaughda01.html,1996,1999,F,6-9,240,"March 23, 1973",Memphis,Right,6-9,240lb,"Tulsa, Oklahoma","November 4, 1995",Power Forward
David Vaughn,/players/v/vaughda01.html,1996,1999,F,6-9,240,"March 23, 1973",Memphis,Right,6-9,240lb,"Tulsa, Oklahoma","November 4, 1995",Power Forward
David Vaughn,/players/v/vaughda02.html,1975,1976,C,6-11,220,"June 4, 1952",Oral Roberts,Right,6-11,220lb,"Nashville, Tennessee",NA,Center
David Vaughn,/players/v/vaughda02.html,1975,1976,C,6-11,220,"June 4, 1952",Oral Roberts,Right,6-11,220lb,"Nashville, Tennessee",NA,Center
David Vaughn,/players/v/vaughda02.html,1975,1976,C,6-11,220,"June 4, 1952",Oral Roberts,Right,6-9,240lb,"Tulsa, Oklahoma","November 4, 1995",Power Forward
David Vaughn,/players/v/vaughda02.html,1975,1976,C,6-11,220,"June 4, 1952",Oral Roberts,Right,6-9,240lb,"Tulsa, Oklahoma","November 4, 1995",Power Forward
David Vaughn,/players/v/vaughda02.html,1996,1999,F,6-9,240,"March 23, 1973",Memphis,Right,6-11,220lb,"Nashville, Tennessee",NA,Center
David Vaughn,/players/v/vaughda02.html,1996,1999,F,6-9,240,"March 23, 1973",Memphis,Right,6-11,220lb,"Nashville, Tennessee",NA,Center
David Vaughn,/players/v/vaughda02.html,1996,1999,F,6-9,240,"March 23, 1973",Memphis,Right,6-9,240lb,"Tulsa, Oklahoma","November 4, 1995",Power Forward
David Vaughn,/players/v/vaughda02.html,1996,1999,F,6-9,240,"March 23, 1973",Memphis,Right,6-9,240lb,"Tulsa, Oklahoma","November 4, 1995",Power Forward
Jacque Vaughn,/players/v/vaughja01.html,1998,2009,G,6-1,190,"February 11, 1975",Kansas,Right,6-1,190lb,"Los Angeles, California","October 31, 1997",Point Guard and Shooting Guard
Rashad Vaughn,/players/v/vaughra01.html,2016,2018,G,6-6,202,"August 16, 1996",UNLV,Right,6-6,202lb,M,"October 28, 2015",Shooting Guard
Virgil Vaughn,/players/v/vaughvi01.html,1947,1947,F-C,6-4,205,"May 15, 1918",Western Kentucky,Right,6-4,205lb,"Webster County, Kentucky","November 2, 1946",Forward Center
Loy Vaught,/players/v/vaughlo01.html,1991,2001,F,6-9,230,"February 27, 1968",Michigan,Right,6-9,230lb,"Grand Rapids, Michigan","November 2, 1990",Power Forward
Bob Verga,/players/v/vergabo01.html,1968,1974,G,6-1,190,"September 7, 1945",Duke,Right,6-1,190lb,"Neptune, New Jersey","December 27, 1973",Shooting Guard and Point Guard
Pete Verhoeven,/players/v/verhope01.html,1982,1987,F,6-9,215,"February 15, 1959",Fresno State,Right,6-9,215lb,"Hanford, California","October 30, 1981",Power Forward
Jan Veselý,/players/v/veselja01.html,2012,2014,F,6-11,240,"April 24, 1990",,Right,6-11,240lb,"Ostrava, Czech Republic","January 8, 2012",Power Forward
Gundars Vētra,/players/v/vetragu01.html,1993,1993,F,6-6,195,"May 22, 1967",,Right,6-6,195lb,"Ventspils, Latvia","November 6, 1992",Small Forward
João Vianna,/players/v/viannjo01.html,1992,1992,F,6-9,215,"November 15, 1966",,Right,6-9,215lb,"Brasilia, Brazil","November 1, 1991",Small Forward
Charlie Villanueva,/players/v/villach01.html,2006,2016,F,6-11,232,"August 24, 1984",UConn,Right,6-11,232lb,"Queens, New York","November 2, 2005",Power Forward
Gabe Vincent,/players/v/vincega01.html,2020,2022,G,6-3,200,"June 14, 1996",UC Santa Barbara,Right,6-3,200lb,"Modesto, California","January 27, 2020",Point Guard
Jay Vincent,/players/v/vinceja01.html,1982,1990,F,6-7,220,"June 10, 1959",Michigan State,Right,6-7,220lb,"Kalamazoo, Michigan","October 30, 1981",Small Forward and Power Forward
Sam Vincent,/players/v/vincesa01.html,1986,1992,G,6-2,185,"May 18, 1963",Michigan State,Right,6-2,185lb,Lans,"October 26, 1985",Point Guard and Shooting Guard
Marcus Vinicius,/players/v/vincima01.html,2007,2008,F,6-8,225,"May 31, 1984",,Right,6-8,225lb,"Sao Paulo, Brazil","November 25, 2006",Small Forward
Fred Vinson,/players/v/vinsofr01.html,1995,2000,G,6-4,190,"January 28, 1971",Georgia Tech,Right,6-4,190lb,"Murfreesboro, North Carol","November 4, 1994",Shooting Guard
Claude Virden,/players/v/virdecl01.html,1973,1973,F,6-6,195,"November 25, 1947",Murray State,Right,6-6,195lb,"Akron, Ohio",NA,Small Forward
Gary Voce,/players/v/vocega01.html,1990,1990,F,6-9,240,"November 24, 1965",Notre Dame,Right,6-9,240lb,Jamaica,"November 10, 1989",Power Forward
Floyd Volker,/players/v/volkefl01.html,1950,1950,F-C,6-4,205,"June 21, 1921",Wyoming,Right,6-4,205lb,"Casper, Wyom","November 1, 1949",Forward Center
Alexander Volkov,/players/v/volkoal01.html,1990,1992,C,6-10,218,"March 28, 1964",,Right,6-10,218lb,"Omsk, Russia","November 3, 1989",Center
Whitey Von Nieda,/players/v/vonniwh01.html,1950,1950,G-F,6-1,170,"June 19, 1922",Penn State,Right,6-1,170lb,"Ephrata, Pennsylvania","October 29, 1949",Guard Forward
Noah Vonleh,/players/v/vonleno01.html,2015,2021,F,6-10,257,"August 24, 1995",Indiana,Right,6-10,257lb,"Salem, Massachusetts","November 15, 2014",Power Forward and Center
Jake Voskuhl,/players/v/voskuja01.html,2001,2009,C,6-11,245,"November 1, 1977",UConn,Right,6-11,245lb,"Tulsa, Oklahoma","November 11, 2000",Center
Danny Vranes,/players/v/vraneda01.html,1982,1988,F,6-7,210,"October 29, 1958",Utah,Right,6-7,210lb,"Salt Lake City, Utah","October 31, 1981",Small Forward
Slavko Vraneš,/players/v/vranesl01.html,2004,2004,C,7-5,275,"January 30, 1983",,Right,7-5,275lb,"Belgrade, Serbia","January 8, 2004",Center
Stojko Vranković,/players/v/vrankst01.html,1991,1999,C,7-2,260,"January 22, 1964",,Right,7-2,260lb,"Drnis, Croatia","November 13, 1990",Center
Brett Vroman,/players/v/vromabr01.html,1981,1981,C,7-0,220,"December 25, 1955","UCLA, UNLV",Right,7-0,220lb,"Hollywood, California","October 11, 1980",Center
Jackson Vroman,/players/v/vromaja01.html,2005,2006,F-C,6-10,220,"June 6, 1981",Iowa State,Right,6-10,220lb,"Laguna, California","November 3, 2004",Power Forward and Center
Nikola Vučević,/players/v/vucevni01.html,2012,2022,C,6-10,260,"October 24, 1990",USC,Right,6-10,260lb,"Morges, Switzerland","December 28, 2011",Center
Sasha Vujačić,/players/v/vujacsa01.html,2005,2017,G,6-7,195,"March 8, 1984",,Right,6-7,195lb,"Maribor, Slovenia","November 3, 2004",Shooting Guard and Point Guard
Butch van Breda Kolff,/players/v/vanbrbu01.html,1947,1950,G-F,6-3,185,"October 28, 1922",NYU,Right,6-3,185lb,"Glen Ridge, New Jersey","February 8, 1947",Guard Forward
Jan van Breda Kolff,/players/v/vanbrja01.html,1975,1983,F-G,6-7,195,"December 16, 1951",Vanderbilt,Right,6-7,195lb,"Palos Verdes, California","October 22, 1976",Small Forward
Dean Wade,/players/w/wadede01.html,2020,2022,F,6-9,228,"November 20, 1996",Kansas State,Right,6-9,228lb,"Wichita, Kansas","November 18, 2019",Power Forward
Dwyane Wade,/players/w/wadedw01.html,2004,2019,G,6-4,220,"January 17, 1982",Marquette,Right,6-4,220lb,"Chicago, Ill","October 28, 2003",Shooting Guard and Point Guard
Mark Wade,/players/w/wadema01.html,1988,1990,G,5-11,160,"October 15, 1965","Oklahoma, UNLV",Left,5-11,160lb,"Torrance, California","March 30, 1988",Point Guard
Von Wafer,/players/w/wafervo01.html,2006,2012,G,6-5,210,"July 21, 1985",Florida State,Right,6-5,210lb,"Homer, Louisiana","November 24, 2005",Shooting Guard and Small Forward
Clint Wager,/players/w/wagercl01.html,1950,1950,C-F,6-6,210,"January 20, 1920",Saint Mary's University of Minnesota,Right,6-6,210lb,W,"November 3, 1949",Center Forward
Dajuan Wagner,/players/w/wagneda02.html,2003,2007,G,6-2,200,"February 4, 1983",Memphis,Right,6-2,200lb,"Camden, New Jersey","November 26, 2002",Shooting Guard
Danny Wagner,/players/w/wagneda01.html,1950,1950,G,6-0,170,"August 1, 1922",Texas,Right,6-0,170lb,"Henryetta, Oklahoma","November 1, 1949",Guard
Franz Wagner,/players/w/wagnefr01.html,2022,2022,G-F,6-9,225,"August 27, 2001",Michigan,Right,6-9,225lb,Berl,"October 20, 2021",Small Forward
Milt Wagner,/players/w/wagnemi01.html,1988,1991,G,6-5,185,"February 20, 1963",Louisville,Right,6-5,185lb,"Camden, New Jersey","November 8, 1987",Shooting Guard
Moritz Wagner,/players/w/wagnemo01.html,2019,2022,F-C,6-11,245,"April 26, 1997",Michigan,Right,6-11,245lb,Berl,"November 17, 2018",Center
Phillip Wagner,/players/w/wagneph01.html,1969,1969,G,6-2,190,"December 18, 1945",Georgia Tech,Right,6-2,190lb,NA,NA,Guard
Ish Wainright,/players/w/wainris01.html,2022,2022,F,6-6,250,"September 12, 1994",Baylor,Right,6-6,250lb,"Kansas City, Missouri","November 19, 2021",Power Forward
Dion Waiters,/players/w/waitedi01.html,2013,2020,G,6-3,215,"December 10, 1991",Syracuse,Right,6-3,215lb,"Philadelphia, Pennsylvania","October 30, 2012",Shooting Guard
Granville Waiters,/players/w/waitegr01.html,1984,1988,C,6-11,225,"January 8, 1961",Ohio State,Right,6-11,225lb,"Columbus, Ohio","October 28, 1983",Center
Andre Wakefield,/players/w/wakefan01.html,1979,1980,G,6-3,175,"January 11, 1955",Loyola Chicago,Right,6-3,175lb,"Chicago, Ill","October 20, 1978",Shooting Guard
Neal Walk,/players/w/walkne01.html,1970,1977,C,6-10,220,"July 29, 1948",Florida,Left,6-10,220lb,"Cleveland, Ohio","October 16, 1969",Center
Andy Walker,/players/w/walkean01.html,1977,1977,G,6-4,190,"March 25, 1955",Niagara University,Right,6-4,190lb,"Long Island City, New York","November 17, 1976",Small Forward
Antoine Walker,/players/w/walkean02.html,1997,2008,F,6-8,224,"August 12, 1976",Kentucky,Right,6-8,224lb,"Chicago, Ill","November 1, 1996",Power Forward
Brady Walker,/players/w/walkebr01.html,1949,1952,F-C,6-6,205,"March 15, 1921",BYU,Right,6-6,205lb,"Provo, Utah","November 4, 1948",Power Forward
Chet Walker,/players/w/walkech01.html,1963,1975,F-G,6-6,212,"February 22, 1940",Bradley,Right,6-6,212lb,"Bethlehem, Mississippi","October 20, 1962",Small Forward
Darrell Walker,/players/w/walkeda01.html,1984,1993,G,6-4,180,"March 9, 1961",Arkansas,Right,6-4,180lb,"Chicago, Ill","October 28, 1983",Point Guard and Shooting Guard
Foots Walker,/players/w/walkefo01.html,1975,1984,G,6-0,184,"May 21, 1951","Vincennes University, West Georgia",Right,6-0,184lb,"Southampton, New York","October 18, 1974",Point Guard
Henry Walker,/players/w/walkebi01.html,2009,2015,F,6-6,220,"October 9, 1987",Kansas State,Right,6-6,220lb,Hunt,"November 7, 2008",Shooting Guard and Small Forward
Horace Walker,/players/w/walkeho01.html,1962,1962,F,6-3,210,"April 17, 1937",Michigan State,Right,6-3,210lb,"Chester, Pennsylvania","October 19, 1961",Small Forward
Jimmy Walker,/players/w/walkeji01.html,1968,1976,G,6-3,195,"April 8, 1944",Providence,Right,6-3,195lb,"Amherst, Virg","October 17, 1967",Shooting Guard and Point Guard
Kemba Walker,/players/w/walkeke02.html,2012,2022,G,6-0,184,"May 8, 1990",UConn,Right,6-0,184lb,"The Bronx, New York","December 26, 2011",Point Guard
Kenny Walker,/players/w/walkeke01.html,1987,1995,F,6-8,210,"August 18, 1964",Kentucky,Right,6-8,210lb,"Roberta, Georgia","October 31, 1986",Small Forward and Power Forward
Lonnie Walker IV,/players/w/walkelo01.html,2019,2022,G,6-4,204,"December 14, 1998",Miami (FL),Right,6-4,204lb,Read,"January 3, 2019",Shooting Guard
M.J. Walker,/players/w/walkemj01.html,2022,2022,G,6-5,213,"March 28, 1998",Florida State,Right,6-5,213lb,"Atlanta, Georgia","December 31, 2021",Shooting Guard
Phil Walker,/players/w/walkeph01.html,1978,1978,G,6-3,180,"March 20, 1956",Millersville,Right,6-3,180lb,"Philadelphia, Pennsylvania","October 21, 1977",Shooting Guard
Samaki Walker,/players/w/walkesa01.html,1997,2006,F,6-9,240,"February 25, 1976",Louisville,Right,6-9,240lb,"Columbus, Ohio","November 12, 1996",Power Forward and Center
Wally Walker,/players/w/walkewa01.html,1977,1984,F,6-7,190,"July 18, 1954",Virginia,Right,6-7,190lb,"Millersville, Pennsylvania","October 23, 1976",Small Forward
John Wall,/players/w/walljo01.html,2011,2021,G,6-3,210,"September 6, 1990",Kentucky,Right,6-3,210lb,"Raleigh, North Carol","October 28, 2010",Point Guard
Ben Wallace,/players/w/wallabe01.html,1997,2012,F-C,6-9,240,"September 10, 1974",Virginia Union University,Right,6-9,240lb,"White Hall, Alabama","November 1, 1996",Center and Power Forward
Gerald Wallace,/players/w/wallage01.html,2002,2015,F,6-7,215,"July 23, 1982",Alabama,Right,6-7,215lb,"Sylacauga, Alabama","October 30, 2001",Small Forward and Power Forward
John Wallace,/players/w/wallajo01.html,1997,2004,F,6-8,225,"February 9, 1974",Syracuse,Right,6-8,225lb,"Rochester, New York","November 1, 1996",Small Forward
