Player,url,From,To,Pos,Ht,Wt,Birth Date,Colleges
Bernard Robinson,/players/r/robinbe01.html,2005,2007,G-F,6-6,210,"December 26, 1980",Michigan
Chris Robinson,/players/r/robinch01.html,1997,1998,G,6-5,200,"April 2, 1974",Western Kentucky
Cliff Robinson,/players/r/robincl01.html,1980,1992,F,6-9,220,"March 13, 1960",USC
Clifford Robinson,/players/r/robincl02.html,1990,2007,F-C,6-10,225,"December 16, 1966",UConn
David Robinson,/players/r/robinda01.html,1990,2003,C,7-1,235,"August 6, 1965",United States Naval Academy
Devin Robinson,/players/r/robinde01.html,2018,2019,F,6-8,200,"March 7, 1995",Florida
Duncan Robinson,/players/r/robindu01.html,2019,2022,G-F,6-7,215,"April 22, 1994","Williams, Michigan"
Eddie Robinson,/players/r/robined01.html,2000,2004,G-F,6-8,210,"April 19, 1976",University of Central Oklahoma
Flynn Robinson,/players/r/robinfl01.html,1967,1974,G,6-1,185,"April 28, 1941",Wyoming
Glenn Robinson,/players/r/robingl01.html,1995,2005,F,6-7,225,"January 10, 1973",Purdue
Glenn Robinson III,/players/r/robingl02.html,2015,2021,G-F,6-6,222,"January 8, 1994",Michigan
Jackie Robinson,/players/r/robinja01.html,1979,1982,F,6-6,210,"May 20, 1955",UNLV
Jamal Robinson,/players/r/robinja03.html,2001,2001,F,6-7,212,"December 27, 1973",Virginia
James Robinson,/players/r/robinja02.html,1994,2001,G,6-2,180,"August 31, 1970",Alabama
Jerome Robinson,/players/r/robinje01.html,2019,2021,G,6-4,190,"February 22, 1997",Boston College
Justin Robinson,/players/r/robinju01.html,2020,2022,G,6-1,195,"October 12, 1997",Virginia Tech
Larry Robinson,/players/r/robinla01.html,1991,2002,F-G,6-3,180,"January 11, 1968",Centenary (LA)
Mitchell Robinson,/players/r/robinmi01.html,2019,2022,C,7-0,240,"April 1, 1998",Western Kentucky
Nate Robinson,/players/r/robinna01.html,2006,2016,G,5-9,180,"May 31, 1984",Washington
Oliver Robinson,/players/r/robinol01.html,1983,1983,G,6-4,180,"March 13, 1960",UAB
Ronnie Robinson,/players/r/robinro01.html,1974,1975,F,6-8,200,"March 9, 1951",Memphis
Rumeal Robinson,/players/r/robinru01.html,1991,1997,G,6-2,195,"November 13, 1966",Michigan
Samuel Robinson,/players/r/robinsa01.html,1971,1972,F,6-7,190,"January 1, 1948",Cal State Long Beach
Thomas Robinson,/players/r/robinth01.html,2013,2017,F,6-10,237,"March 17, 1991",Kansas
Truck Robinson,/players/r/robintr01.html,1975,1985,F-C,6-7,225,"October 4, 1951",Tennessee State
Wayne Robinson,/players/r/robinwa01.html,1981,1981,F,6-8,217,"April 19, 1958",Virginia Tech
Wilbert Robinson,/players/r/robinwi01.html,1974,1974,G,6-2,175,"December 25, 1949",West Virginia
Jeremiah Robinson-Earl,/players/r/robinje02.html,2022,2022,F,6-9,230,"November 3, 2000",Villanova
Bill Robinzine,/players/r/robinbi01.html,1976,1982,F,6-7,230,"January 20, 1953",DePaul
Dave Robisch,/players/r/robisda01.html,1972,1984,C-F,6-10,235,"December 22, 1949",Kansas
Isaiah Roby,/players/r/robyis01.html,2020,2022,F,6-8,230,"February 3, 1998",Nebraska
Red Rocha,/players/r/rochare01.html,1948,1957,C-F,6-9,185,"September 18, 1923",Oregon State
John Roche,/players/r/rochejo01.html,1972,1982,G,6-3,170,"September 26, 1949",South Carolina
Gene Rock,/players/r/rockge01.html,1948,1948,G,5-9,155,"November 4, 1921",USC
Jack Rocker,/players/r/rockeja01.html,1948,1948,C-F,6-5,185,"August 12, 1922",California
Guy Rodgers,/players/r/rodgegu01.html,1959,1970,G,6-0,185,"September 1, 1935",Temple
Dennis Rodman,/players/r/rodmade01.html,1987,2000,F,6-7,210,"May 13, 1961",Southeastern Oklahoma State University
Sergio Rodríguez,/players/r/rodrise01.html,2007,2017,G,6-3,176,"June 12, 1986",
Lou Roe,/players/r/roelo01.html,1996,1997,F,6-7,220,"July 14, 1972",UMass
Carlos Rogers,/players/r/rogerca01.html,1995,2002,C-F,6-11,220,"February 6, 1971","Little Rock, Tennessee State"
Harry Rogers,/players/r/rogerha01.html,1976,1976,F,6-7,195,"December 31, 1950",Saint Louis
Johnny Rogers,/players/r/rogerjo01.html,1987,1988,F-C,6-10,225,"December 30, 1963","Stanford, University of California, Irvine"
Marshall Rogers,/players/r/rogerma01.html,1977,1977,G,6-1,190,"August 27, 1953",University of Texas Rio Grande Valley
Rodney Rogers,/players/r/rogerro01.html,1994,2005,F,6-7,235,"June 20, 1971",Wake Forest
Roy Rogers,/players/r/rogerro02.html,1997,2000,F,6-10,235,"August 19, 1973",Alabama
Willie Rogers,/players/r/rogerwi01.html,1969,1969,G-F,6-3,185,"September 11, 1945",Oklahoma
Al Roges,/players/r/rogesal01.html,1954,1955,G-F,6-4,195,"October 25, 1930",Long Island University
Ken Rohloff,/players/r/rohloke01.html,1964,1964,G,6-0,195,"April 18, 1939",NC State
Kenny Rollins,/players/r/rollike01.html,1949,1953,G,6-0,168,"September 14, 1923",Kentucky
Phil Rollins,/players/r/rolliph01.html,1959,1961,G,6-2,185,"January 19, 1934",Louisville
Tree Rollins,/players/r/rollitr01.html,1978,1995,C,7-1,235,"June 16, 1955",Clemson
Lorenzo Romar,/players/r/romarlo01.html,1981,1985,G,6-1,175,"November 13, 1958",Washington
Rajon Rondo,/players/r/rondora01.html,2007,2022,G,6-1,180,"February 22, 1986",Kentucky
Jerry Rook,/players/r/rookje01.html,1970,1970,F,6-5,219,"October 27, 1943",Arkansas State University
Sean Rooks,/players/r/rooksse01.html,1993,2004,C,6-10,250,"September 9, 1969",Arizona
Derrick Rose,/players/r/rosede01.html,2009,2022,G,6-2,200,"October 4, 1988",Memphis
Jalen Rose,/players/r/roseja01.html,1995,2007,G-F,6-8,210,"January 30, 1973",Michigan
Malik Rose,/players/r/rosema01.html,1997,2009,F-C,6-7,250,"November 23, 1974",Drexel
Rob Rose,/players/r/rosero01.html,1989,1989,G,6-5,180,"December 27, 1964",George Mason
Petey Rosenberg,/players/r/rosenpe01.html,1947,1947,G,5-10,165,"April 7, 1918",Saint Joseph's
Lennie Rosenbluth,/players/r/rosenle01.html,1958,1959,F,6-4,190,"January 22, 1933",UNC
Hank Rosenstein,/players/r/rosenha01.html,1947,1947,F,6-4,185,"June 16, 1920",City College of New York
Dick Rosenthal,/players/r/rosendi01.html,1955,1957,F-G,6-5,205,"January 20, 1930",Notre Dame
Quinton Ross,/players/r/rossqu01.html,2005,2011,G,6-6,195,"April 30, 1981",SMU
Terrence Ross,/players/r/rosste01.html,2013,2022,F-G,6-6,206,"February 5, 1991",Washington
Doug Roth,/players/r/rothdo01.html,1990,1990,C,6-11,255,"August 24, 1967",Tennessee
Scott Roth,/players/r/rothsc01.html,1988,1990,F,6-8,212,"June 3, 1963",Wisconsin
Irv Rothenberg,/players/r/rotheir01.html,1947,1949,C,6-7,215,"December 31, 1921",Long Island University
Mickey Rottner,/players/r/rottnmi01.html,1947,1948,G,5-10,180,"March 23, 1919",Loyola Chicago
Dan Roundfield,/players/r/roundda01.html,1976,1987,F-C,6-8,205,"May 26, 1953",Central Michigan University
Giff Roux,/players/r/rouxgi01.html,1947,1949,F-C,6-5,195,"June 28, 1923",Kansas
Ron Rowan,/players/r/rowanro01.html,1987,1987,G,6-5,200,"April 23, 1962","Notre Dame, St. John's"
Curtis Rowe,/players/r/rowecu01.html,1972,1979,F,6-7,225,"July 2, 1949",UCLA
Jim Rowinski,/players/r/rowinji01.html,1989,1990,F-C,6-8,250,"January 4, 1961",Purdue
Derrick Rowland,/players/r/rowlade01.html,1986,1986,G,6-5,195,"June 21, 1959",State University of New York at Potsdam
Brian Rowsom,/players/r/rowsobr01.html,1988,1990,F,6-9,220,"October 23, 1965",UNC Wilmington
Brandon Roy,/players/r/roybr01.html,2007,2013,G,6-6,215,"July 23, 1984",Washington
Donald Royal,/players/r/royaldo01.html,1990,1998,F,6-8,210,"May 22, 1966",Notre Dame
Reggie Royals,/players/r/royalre01.html,1975,1975,C,6-10,200,"September 18, 1950",Florida State
Bob Royer,/players/r/royerbo01.html,1950,1950,G,5-10,155,"October 15, 1927",Indiana State University
Clifford Rozier,/players/r/roziecl01.html,1995,1998,C-F,6-11,245,"October 31, 1972","UNC, Louisville"
Terry Rozier,/players/r/roziete01.html,2016,2022,G,6-1,190,"March 17, 1994",Louisville
Ricky Rubio,/players/r/rubiori01.html,2012,2022,G,6-2,190,"October 21, 1990",
Guy Rucker,/players/r/ruckegu01.html,2003,2003,F-C,6-11,265,"July 27, 1977",Iowa
Delaney Rudd,/players/r/ruddde01.html,1990,1993,G,6-2,180,"November 8, 1962",Wake Forest
John Rudd,/players/r/ruddjo01.html,1979,1979,F,6-7,230,"August 7, 1955",McNeese State University
Damjan Rudež,/players/r/rudezda01.html,2015,2017,F,6-10,228,"June 17, 1986",
John Rudometkin,/players/r/rudomjo01.html,1963,1965,F,6-6,205,"June 6, 1940",USC
Michael Ruffin,/players/r/ruffimi01.html,2000,2009,F,6-9,246,"January 21, 1977",Tulsa
Trevor Ruffin,/players/r/ruffitr01.html,1995,1996,G,6-1,185,"September 26, 1970",Hawaii
Paul Ruffner,/players/r/ruffnpa01.html,1971,1976,C-F,6-10,225,"October 15, 1948",BYU
Joe Ruklick,/players/r/ruklijo01.html,1960,1962,F-C,6-9,220,"August 3, 1938",Northwestern
Jeff Ruland,/players/r/rulanje01.html,1982,1993,C-F,6-10,240,"December 16, 1958",Iona College
Bob Rule,/players/r/rulebo01.html,1968,1975,C-F,6-9,220,"June 29, 1944",Colorado State
Jerry Rullo,/players/r/rulloje01.html,1947,1950,G,5-10,165,"June 23, 1923",Temple
Stefano Rusconi,/players/r/ruscost01.html,1996,1996,C-F,6-9,240,"October 2, 1968",
Brandon Rush,/players/r/rushbr01.html,2009,2017,G-F,6-6,220,"July 7, 1985",Kansas
Kareem Rush,/players/r/rushka01.html,2003,2010,G,6-6,215,"October 30, 1980",Missouri
Bill Russell,/players/r/russebi01.html,1957,1969,C,6-10,215,"February 12, 1934",San Francisco
Bryon Russell,/players/r/russebr01.html,1994,2006,F,6-7,225,"December 31, 1970",Cal State Long Beach
Campy Russell,/players/r/russeca02.html,1975,1985,F,6-8,215,"January 12, 1952",Michigan
Cazzie Russell,/players/r/russeca01.html,1967,1978,F-G,6-5,218,"June 7, 1944",Michigan
D'Angelo Russell,/players/r/russeda01.html,2016,2022,G,6-4,193,"February 23, 1996",Ohio State
Frank Russell,/players/r/russefr01.html,1973,1973,G,6-3,180,"April 17, 1949",Detroit Mercy
Pierre Russell,/players/r/russepi01.html,1972,1973,F-G,6-4,190,"December 13, 1949",Kansas
Rubin Russell,/players/r/russeru01.html,1968,1968,G,6-2,180,"November 7, 1944",University of North Texas
Walker Russell,/players/r/russewa01.html,1983,1988,G,6-5,195,"October 26, 1960","Houston, Western Michigan"
Walker Russell,/players/r/russewa01.html,2012,2012,G,6-0,170,"October 6, 1982",Jacksonville State University
Walker Russell,/players/r/russewa02.html,1983,1988,G,6-5,195,"October 26, 1960","Houston, Western Michigan"
Walker Russell,/players/r/russewa02.html,2012,2012,G,6-0,170,"October 6, 1982",Jacksonville State University
Arvydas Sabonis,/players/s/sabonar01.html,1996,2003,C,7-3,279,"December 19, 1964",
Domantas Sabonis,/players/s/sabondo01.html,2017,2022,F-C,6-11,240,"May 3, 1996",Gonzaga
Robert Sacre,/players/s/sacrero01.html,2013,2016,C,7-0,270,"June 6, 1989",Gonzaga
Ed Sadowski,/players/s/sadowed01.html,1947,1950,C,6-5,240,"July 11, 1917",Seton Hall
Kenny Sailors,/players/s/sailoke01.html,1947,1951,G,5-10,175,"January 14, 1921",Wyoming
John Salley,/players/s/sallejo01.html,1987,2000,F-C,6-11,230,"May 16, 1964",Georgia Tech
John Salmons,/players/s/salmojo01.html,2003,2015,G,6-7,210,"December 12, 1979",Miami (FL)
Al Salvadori,/players/s/salvaal01.html,1968,1968,F,6-9,220,"May 6, 1945",South Carolina
Kevin Salvadori,/players/s/salvake01.html,1997,1998,C,7-0,231,"December 30, 1970",UNC
Soumaila Samake,/players/s/samakso01.html,2001,2003,C,7-0,230,"March 18, 1978",
Luka Šamanić,/players/s/samanlu01.html,2020,2021,F,6-10,227,"January 9, 2000",
Cheikh Samb,/players/s/sambch01.html,2008,2009,C,7-1,245,"October 22, 1984",
Brandon Sampson,/players/s/sampsbr01.html,2019,2019,G,6-5,184,"May 1, 1997",LSU
JaKarr Sampson,/players/s/sampsja02.html,2015,2021,G-F,6-7,214,"March 20, 1993",St. John's
Jamal Sampson,/players/s/sampsja01.html,2003,2007,F-C,6-11,235,"May 15, 1983",California
Ralph Sampson,/players/s/sampsra01.html,1984,1992,C-F,7-4,228,"July 7, 1960",Virginia
Samardo Samuels,/players/s/samuesa01.html,2011,2013,F,6-9,260,"January 9, 1989",Louisville
Pepe Sánchez,/players/s/sanchpe01.html,2001,2003,G,6-4,195,"May 8, 1977",Temple
Al Sanders,/players/s/sandeal01.html,1973,1973,F,6-7,240,"January 1, 1950",LSU
Frankie Sanders,/players/s/sandefr01.html,1979,1981,F-G,6-6,200,"January 23, 1957",Southern University and A&M College
Jeff Sanders,/players/s/sandeje01.html,1990,1993,F,6-8,225,"January 14, 1966",Georgia Southern University
Larry Sanders,/players/s/sandela01.html,2011,2017,C-F,6-11,235,"November 21, 1988",VCU
Melvin Sanders,/players/s/sandeme01.html,2006,2006,G-F,6-5,210,"January 3, 1981","Seward County Community College, Oklahoma State"
Mike Sanders,/players/s/sandemi01.html,1983,1993,F-G,6-6,210,"May 7, 1960",UCLA
Tom Sanders,/players/s/sandeto01.html,1961,1973,F,6-6,210,"November 8, 1938",NYU
Ron Sanford,/players/s/sanforo01.html,1972,1972,F,6-9,215,"June 11, 1946",New Mexico
Daniel Santiago,/players/s/santida01.html,2001,2005,C,7-1,256,"June 24, 1976","New Mexico, Saint Vincent College"
Bob Santini,/players/s/santibo01.html,1956,1956,F,6-5,190,"February 17, 1935",Iona College
Wayne Sappleton,/players/s/sapplwa01.html,1985,1985,F,6-9,215,"November 17, 1960",Loyola Chicago
Dario Šarić,/players/s/saricda01.html,2017,2021,F-C,6-10,225,"April 8, 1994",
Olivier Sarr,/players/s/sarrol01.html,2022,2022,C,7-0,237,"February 20, 1999","Wake Forest, Kentucky"
Jason Sasser,/players/s/sasseja01.html,1997,1999,F,6-7,225,"January 13, 1974",Texas Tech
Jeryl Sasser,/players/s/sasseje01.html,2002,2003,G,6-6,200,"February 13, 1979",SMU
Tomáš Satoranský,/players/s/satorto01.html,2017,2022,G,6-7,210,"October 30, 1991",
Kenny Satterfield,/players/s/satteke01.html,2002,2003,G,6-2,186,"April 10, 1981",Cincinnati
Pep Saul,/players/s/saulpe01.html,1950,1955,G-F,6-2,185,"February 16, 1924",Seton Hall
Woody Sauldsberry,/players/s/sauldwo01.html,1958,1966,F-C,6-7,220,"July 11, 1934",Texas Southern
Glynn Saulters,/players/s/saultgl01.html,1969,1969,G,6-2,175,"February 10, 1945",Louisiana-Monroe
Fred Saunders,/players/s/saundfr01.html,1975,1978,F,6-7,210,"June 13, 1951",Syracuse
Don Savage,/players/s/savagdo01.html,1952,1957,F-G,6-3,205,"April 9, 1928",LeMoyne College
Predrag Savović,/players/s/savovpr01.html,2003,2003,G,6-6,225,"May 21, 1976","UAB, Hawaii"
Alan Sawyer,/players/s/sawyeal01.html,1951,1951,F,6-5,195,"January 1, 1928",UCLA
Brian Scalabrine,/players/s/scalabr01.html,2002,2012,F,6-9,241,"March 18, 1978",USC
Alex Scales,/players/s/scaleal01.html,2006,2006,G,6-4,185,"July 3, 1978",Oregon
DeWayne Scales,/players/s/scalede01.html,1981,1984,F,6-8,208,"December 28, 1958",LSU
Frank Schade,/players/s/schadfr01.html,1973,1973,G,6-1,170,"January 22, 1950",University of Wisconsin-Eau Claire
Ben Schadler,/players/s/schadbe01.html,1948,1948,F,6-0,185,"March 9, 1924",Northwestern
Herm Schaefer,/players/s/schaehe01.html,1949,1950,G-F,6-0,175,"December 20, 1918",Indiana
Billy Schaeffer,/players/s/schaebi01.html,1974,1976,F,6-5,200,"December 11, 1951",St. John's
Bob Schafer,/players/s/schafbo01.html,1956,1957,G,6-3,195,"March 29, 1933",Villanova
Jordan Schakel,/players/s/schakjo01.html,2022,2022,F,6-6,200,"June 13, 1998",San Diego State
Ben Scharnus,/players/s/scharbe01.html,1947,1949,F,6-2,173,"December 11, 1917",Seton Hall
Marv Schatzman,/players/s/schatma01.html,1950,1950,F,6-5,200,"February 18, 1927",Saint Louis
Fred Schaus,/players/s/schaufr01.html,1950,1954,F,6-5,205,"June 30, 1925",West Virginia
Danny Schayes,/players/s/schayda01.html,1982,1999,C-F,6-11,235,"May 10, 1959",Syracuse
Dolph Schayes,/players/s/schaydo01.html,1950,1964,F-C,6-8,220,"May 19, 1928",NYU
Ossie Schectman,/players/s/schecos01.html,1947,1947,G,6-0,175,"March 30, 1919",Long Island University
Steve Scheffler,/players/s/schefst01.html,1991,1997,C-F,6-9,250,"September 3, 1967",Purdue
Tom Scheffler,/players/s/schefto01.html,1985,1985,C,6-11,240,"October 27, 1954",Purdue
Dave Schellhase,/players/s/schelda01.html,1967,1968,G,6-3,205,"October 14, 1944",Purdue
Luke Schenscher,/players/s/schenlu01.html,2006,2007,C,7-1,255,"December 31, 1982",Georgia Tech
Herb Scherer,/players/s/scherhe01.html,1951,1952,C,6-9,212,"December 21, 1928",Long Island University
Dwayne Schintzius,/players/s/schindw01.html,1991,1999,C,7-1,260,"October 14, 1968",Florida
Dale Schlueter,/players/s/schluda01.html,1969,1978,C,6-10,225,"November 12, 1945",Colorado State
Otto Schnellbacher,/players/s/schneot01.html,1949,1949,F-G,6-4,185,"April 15, 1923",Kansas
Dick Schnittker,/players/s/schnidi01.html,1951,1958,F,6-5,200,"May 27, 1928",Ohio State
Russ Schoene,/players/s/schoeru01.html,1983,1989,F-C,6-10,210,"April 16, 1960",Chattanooga
Admiral Schofield,/players/s/schofad01.html,2020,2022,G-F,6-5,241,"March 30, 1997",Tennessee
Dave Scholz,/players/s/scholda01.html,1970,1970,F,6-8,220,"April 12, 1948",Illinois
Milt Schoon,/players/s/schoomi01.html,1947,1950,C,6-7,230,"February 25, 1922",Valparaiso
Detlef Schrempf,/players/s/schrede01.html,1986,2001,F-C,6-10,235,"January 21, 1963",Washington
Dennis Schröder,/players/s/schrode01.html,2014,2022,G,6-3,172,"September 15, 1993",
Howie Schultz,/players/s/schulho01.html,1950,1953,C-F,6-6,200,"July 3, 1922",Hamline University
Dick Schulz,/players/s/schuldi01.html,1947,1950,F-G,6-2,192,"January 3, 1917",Wisconsin
Roger Schurig,/players/s/schurro01.html,1968,1968,G,6-3,185,"April 3, 1942",Vanderbilt
John Schweitz,/players/s/schwejo01.html,1985,1987,G,6-6,210,"April 19, 1960",Richmond
Luis Scola,/players/s/scolalu01.html,2008,2017,F,6-9,240,"April 30, 1980",
Fred Scolari,/players/s/scolafr01.html,1947,1955,G,5-10,180,"March 1, 1922",San Francisco
Alvin Scott,/players/s/scottal01.html,1978,1985,F-G,6-7,185,"September 14, 1955",Oral Roberts
Brent Scott,/players/s/scottbr01.html,1997,1997,F-C,6-10,250,"June 15, 1971",Rice University
Byron Scott,/players/s/scottby01.html,1984,1997,G,6-3,195,"March 28, 1961",Arizona State
Charlie Scott,/players/s/scottch01.html,1971,1980,G-F,6-5,175,"December 15, 1948",UNC
Dennis Scott,/players/s/scottde01.html,1991,2000,F,6-8,229,"September 5, 1968",Georgia Tech
James Scott,/players/s/scottja01.html,1997,1997,F,6-6,180,"June 6, 1972",St. John's
Mike Scott,/players/s/scottmi01.html,2013,2021,F,6-7,237,"July 16, 1988",Virginia
Ray Scott,/players/s/scottra01.html,1962,1972,F-C,6-9,215,"July 12, 1938",University of Portland
Shawnelle Scott,/players/s/scottsh01.html,1997,2002,C,6-10,250,"June 16, 1972",St. John's
Tre Scott,/players/s/scotttr01.html,2022,2022,F,6-8,225,"November 25, 1996",Cincinnati
Willie Scott,/players/s/scottwi01.html,1970,1970,F,6-5,210,"May 22, 1947",Alabama State University
Paul Scranton,/players/s/scranpa01.html,1968,1968,F,6-5,230,"April 30, 1944",Cal Poly Pomona
Jay Scrubb,/players/s/scrubja01.html,2021,2022,G-F,6-5,220,"September 1, 2000",John A. Logan College
Carey Scurry,/players/s/scurrca01.html,1986,1988,F,6-7,188,"December 4, 1962",Long Island University
Bruce Seals,/players/s/sealsbr01.html,1974,1978,F,6-8,210,"June 18, 1953",Xavier University of Louisiana
Shea Seals,/players/s/sealssh01.html,1998,1998,G,6-5,210,"August 26, 1975",Tulsa
Malik Sealy,/players/s/sealyma01.html,1993,2000,G,6-8,190,"February 1, 1970",St. John's
Ed Searcy,/players/s/searced01.html,1976,1976,F,6-6,210,"April 17, 1952",St. John's
Kenny Sears,/players/s/searske01.html,1956,1964,F,6-9,198,"August 17, 1933",Santa Clara
Wayne See,/players/s/seewa01.html,1950,1950,G,6-3,190,"November 3, 1923",Northern Arizona University
Thabo Sefolosha,/players/s/sefolth01.html,2007,2020,G-F,6-6,215,"May 2, 1984",
Rony Seikaly,/players/s/seikaro01.html,1989,1999,C,6-11,230,"May 10, 1965",Syracuse
Glen Selbo,/players/s/selbogl01.html,1950,1950,G-F,6-3,196,"March 29, 1926",Wisconsin
Josh Selby,/players/s/selbyjo01.html,2012,2013,G,6-2,183,"March 27, 1991",Kansas
Wayne Selden,/players/s/seldewa01.html,2017,2022,G-F,6-5,230,"September 30, 1994",Kansas
Brad Sellers,/players/s/sellebr01.html,1987,1993,C-F,7-0,210,"December 17, 1962","Wisconsin, Ohio State"
Phil Sellers,/players/s/selleph01.html,1977,1977,F-G,6-4,195,"November 20, 1953",Rutgers University
Rollie Seltz,/players/s/seltzro01.html,1950,1950,G-F,5-10,165,"January 25, 1924",Hamline University
Lester Selvage,/players/s/selvale01.html,1968,1970,G,6-1,175,"March 7, 1943",Truman State University
Frank Selvy,/players/s/selvyfr01.html,1955,1964,G-F,6-3,180,"November 9, 1932",Furman University
Jim Seminoff,/players/s/seminji01.html,1947,1950,G-F,6-2,190,"September 1, 1922",USC
Mouhamed Sene,/players/s/senesa01.html,2007,2009,C-F,6-11,230,"May 12, 1986",
George Senesky,/players/s/senesge01.html,1947,1954,G,6-2,179,"April 4, 1922",Saint Joseph's
Alperen Şengün,/players/s/sengual01.html,2022,2022,F,6-9,235,"July 25, 2002",
Kevin Séraphin,/players/s/serapke01.html,2011,2017,F,6-9,285,"December 7, 1989",
Ansu Sesay,/players/s/sesayan01.html,2002,2005,F,6-9,225,"July 29, 1976",Ole Miss
Ramon Sessions,/players/s/sessira01.html,2008,2018,G,6-3,190,"April 11, 1986",Nevada
Ha Seung-Jin,/players/s/seungha01.html,2005,2006,C,7-3,305,"August 4, 1985",
Tom Sewell,/players/s/sewelto01.html,1985,1985,G,6-5,185,"March 11, 1962",Lamar
Collin Sexton,/players/s/sextoco01.html,2019,2022,G,6-1,190,"January 4, 1999",Alabama
Paul Seymour,/players/s/seymopa01.html,1948,1960,G-F,6-1,180,"January 30, 1928",Toledo
Nick Shaback,/players/s/shabani01.html,1947,1947,G,5-11,180,"September 10, 1918",
Lynn Shackelford,/players/s/shackly01.html,1970,1970,F,6-5,190,"August 27, 1947",UCLA
Charles Shackleford,/players/s/shackch01.html,1989,1999,F-C,6-10,225,"April 22, 1966",NC State
Carl Shaeffer,/players/s/shaefca01.html,1950,1951,F-G,6-3,185,"October 25, 1924",Alabama
Lee Shaffer,/players/s/shaffle01.html,1962,1964,F,6-7,220,"February 23, 1939",UNC
Mustafa Shakur,/players/s/shakumu01.html,2011,2014,G,6-3,190,"August 18, 1984",Arizona
Landry Shamet,/players/s/shamela01.html,2019,2022,G,6-4,190,"March 13, 1997",Wichita State
God Shammgod,/players/s/shammgo01.html,1998,1998,G,6-0,169,"April 29, 1976",Providence
Earl Shannon,/players/s/shannea01.html,1947,1949,G-F,5-11,170,"November 23, 1921",Rhode Island
Howie Shannon,/players/s/shannho01.html,1949,1950,G-F,6-2,175,"June 10, 1923",Kansas State
Chuck Share,/players/s/sharech01.html,1952,1960,C,6-11,235,"March 14, 1927",Bowling Green
Bill Sharman,/players/s/sharmbi01.html,1951,1961,G,6-1,175,"May 25, 1926",USC
Day'Ron Sharpe,/players/s/sharpda01.html,2022,2022,C,6-11,265,"November 6, 2001",UNC
Walter Sharpe,/players/s/sharpwa01.html,2009,2009,F,6-9,245,"July 18, 1986","Mississippi State, UAB"
John Shasky,/players/s/shaskjo01.html,1989,1991,C,6-11,235,"July 31, 1964",Minnesota
Ron Shavlik,/players/s/shavlro01.html,1957,1958,F,6-8,200,"December 4, 1933",NC State
Brian Shaw,/players/s/shawbr01.html,1989,2003,G,6-6,190,"March 22, 1966","Saint Mary's, UC Santa Barbara"
Casey Shaw,/players/s/shawca01.html,1999,1999,C,6-11,260,"July 20, 1975",Toledo
Marial Shayok,/players/s/shayoma01.html,2020,2020,G,6-5,198,"July 26, 1995","Virginia, Iowa State"
Bob Shea,/players/s/sheabo01.html,1947,1947,F,6-2,194,"September 11, 1924",Rhode Island
Fred Sheffield,/players/s/shefffr01.html,1947,1947,F,6-2,165,"November 5, 1923",Utah
Craig Shelton,/players/s/sheltcr01.html,1981,1982,F,6-7,210,"May 1, 1957",Georgetown
Lonnie Shelton,/players/s/sheltlo01.html,1977,1986,F-C,6-8,240,"October 19, 1955",Oregon State
Tornike Shengelia,/players/s/shengto01.html,2013,2014,F,6-9,217,"October 5, 1991",
Billy Shepherd,/players/s/shephbi01.html,1973,1975,G,5-10,160,"November 18, 1949",Butler
Jeff Sheppard,/players/s/sheppje01.html,1999,1999,G,6-3,190,"September 29, 1974",Kentucky
Steve Sheppard,/players/s/sheppst01.html,1978,1979,F,6-6,215,"March 21, 1954",Maryland
Ed Sherod,/players/s/sheroed01.html,1983,1983,G,6-2,170,"September 13, 1959",VCU
Charley Shipp,/players/s/shippch01.html,1950,1950,G-F,6-1,200,"December 3, 1913",Catholic University of America
Paul Shirley,/players/s/shirlpa01.html,2003,2005,F-C,6-10,230,"December 23, 1977",Iowa State
Gene Short,/players/s/shortge01.html,1976,1976,F,6-6,200,"August 7, 1953",Jackson State University
Purvis Short,/players/s/shortpu01.html,1979,1990,F-G,6-7,210,"July 2, 1957",Jackson State University
Dexter Shouse,/players/s/shousde01.html,1990,1990,G,6-2,200,"March 24, 1963",University of South Alabama
Dick Shrider,/players/s/shriddi01.html,1949,1949,G,6-2,190,"February 7, 1923",Ohio University
Gene Shue,/players/s/shuege01.html,1955,1964,G,6-2,170,"December 18, 1931",Maryland
John Shumate,/players/s/shumajo01.html,1976,1981,F-C,6-9,235,"April 6, 1952",Notre Dame
Iman Shumpert,/players/s/shumpim01.html,2012,2021,G,6-5,215,"June 26, 1990",Georgia Tech
Alexey Shved,/players/s/shvedal01.html,2013,2015,G,6-6,190,"December 16, 1988",
Pascal Siakam,/players/s/siakapa01.html,2017,2022,F,6-9,230,"April 2, 1994",New Mexico State
Jordan Sibert,/players/s/siberjo01.html,2019,2019,G,6-4,187,"August 1, 1992","Ohio State, Dayton"
Sam Sibert,/players/s/sibersa01.html,1973,1973,F,6-7,215,"February 11, 1949",Kentucky State University
Mark Sibley,/players/s/siblema01.html,1974,1974,G,6-2,175,"November 13, 1950",Northwestern
Jerry Sichting,/players/s/sichtje01.html,1981,1990,G,6-1,168,"November 29, 1956",Purdue
Donald Sidle,/players/s/sidledo01.html,1969,1972,F-C,6-8,215,"June 21, 1946",Oklahoma
Larry Siegfried,/players/s/siegfla01.html,1964,1972,F,6-3,190,"May 22, 1939",Ohio State
